"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-07-31,84758,"61012","IL","Rockford","Boone","Capron",14475,125800,0.00720576461168935,0.0120675784392599,-0.0148786217697729,,,"1996-01","1996-Q1",186700,-0.326191751472951,
2018-07-31,82044,"55019","MN","Faribault","Rice","Dundas",14476,234300,0,0.0112214069917997,0.116245831348261,,,"2018-07","2018-Q3",234300,0,"2018-07"
2018-07-31,94156,"83427","ID","Idaho Falls","Bonneville","Idaho Falls",14477,203600,0.0089197224975223,0.0272452068617558,0.0946236559139785,,,"2018-07","2018-Q3",203600,0,"2018-07"
2018-07-31,98221,"95462","CA","Santa Rosa","Sonoma","Monte Rio",14478,469200,0.0072992700729927,0.0387425282266991,0.0808569454042847,,,"2018-07","2018-Q3",469200,0,"2018-07"
2018-07-31,76820,"43739","OH","Columbus","Perry","Glenford",14479,166600,-0.00119904076738609,0.0290302655960469,0.070694087403599,,,"2016-05","2016-Q2",173800,-0.0414269275028769,"2015-08"
2018-07-31,82850,"56433","MN",,"Hubbard","Akeley",14480,172900,0.00934033858727379,0.0421940928270042,0.0686032138442522,,,"2018-07","2018-Q3",172900,0,"2018-07"
2018-07-31,98586,"96057","CA",,"Siskiyou","McCloud",14481,175600,-0.000569151963574274,0.00861573808156232,0.221140472878999,,,"2006-07","2006-Q3",228400,-0.231173380035026,"2005-02"
2018-07-31,64469,"16141","PA","New Castle","Lawrence","New Beaver",14482,121800,-0.0065252854812398,-0.0169491525423729,0.189453125,,,"2018-04","2018-Q2",123900,-0.0169491525423729,"2018-03"
2018-07-31,82796,"56338","MN",,"Morrison","Hillman",14483,221200,-0.0036036036036036,0.000452284034373587,0.0528319847691575,,,"2018-05","2018-Q2",222300,-0.00494826810616284,"2018-05"
2018-07-31,59256,"03864","NH",,"Carroll","Ossipee",14484,196400,0.00357690342360756,0.0165631469979296,0.100280112044818,,,"2006-11","2006-Q4",205700,-0.0452114730189596,"2005-11"
2018-07-31,61838,"10526","NY","New York","Westchester","Goldens Bridge",14485,461100,0.00413763066202091,0.0280936454849498,-0.0357590966122961,,,"2005-11","2005-Q4",604100,-0.236715775533852,"2003-02"
2018-07-31,62892,"12993","NY",,"Essex","Westport",14486,154900,0.00388852883992223,0.0244708994708995,0.0734580734580735,,,"2007-05","2007-Q2",160300,-0.033686837180287,"2006-11"
2018-07-31,82232,"55381","MN","Hutchinson","McLeod","Silver Lake",14487,158600,-0.006265664160401,0.00826446280991736,0.0892857142857143,,,"2018-06","2018-Q2",159600,-0.006265664160401,"2018-05"
2018-07-31,87606,"67473","KS",,"Osborne","Osborne",14488,48400,-0.00616016427104723,-0.016260162601626,-0.115173674588665,,,"2010-03","2010-Q1",60600,-0.201320132013201,
2018-07-31,70974,"30234","GA","Atlanta","Butts","Jenkinsburg",14489,99900,0.00402010050251256,0.00705645161290322,0.0965971459934138,,,"2007-05","2007-Q2",115500,-0.135064935064935,"2004-03"
2018-07-31,74861,"38547","TN","Nashville","Smith","South Carthage",14490,147100,0.00409556313993174,0.0286713286713287,0.142968142968143,,,"2018-07","2018-Q3",147100,0,"2018-07"
2018-07-31,76380,"42464","KY","Madisonville","Hopkins","White Plains",14491,75000,0.00942126514131898,0.0245901639344262,0.0638297872340425,,,"2018-01","2018-Q1",76000,-0.0131578947368421,"2017-12"
2018-07-31,86484,"64489","MO",,"Gentry","Stanberry",14492,69100,0,-0.00144508670520231,0.159395973154362,,,"2018-05","2018-Q2",69200,-0.00144508670520231,"2018-03"
2018-07-31,65478,"18438","PA",,"Wayne","Paupack",14493,225600,0.000887311446317658,0.00445235975066785,-0.00878734622144113,,,"2008-04","2008-Q2",234300,-0.0371318822023047,"2007-12"
2018-07-31,80527,"50676","IA","Waterloo","Bremer","Tripoli",14494,111700,0.0191605839416058,0.0381040892193309,0.0200913242009132,,,"2018-07","2018-Q3",111700,0,"2018-07"
2018-07-31,85896,"63056","MO","St. Louis","Franklin","Leslie",14495,175400,0.00631095811818703,0.0540865384615385,0.169333333333333,,,"2018-07","2018-Q3",175400,0,"2018-07"
2018-07-31,78836,"47928","IN","Terre Haute","Vermillion","Cayuga",14496,52300,-0.00380952380952381,0.0254901960784314,0.0805785123966942,,,"2005-10","2005-Q4",74100,-0.294197031039136,
2018-07-31,81045,"52623","IA","Burlington","Des Moines","Danville",14497,133400,0.00451807228915663,0.0438184663536776,0.0421875,,,"2018-07","2018-Q3",133400,0,"2018-07"
2018-07-31,79377,"48770","MI",,"Iosco","Whittemore",14498,48000,-0.0224032586558045,-0.0569744597249509,-0.00207900207900208,,,"2007-06","2007-Q2",53100,-0.096045197740113,"2004-03"
2018-07-31,62320,"11975","NY","New York","Suffolk","Wainscott",14499,3430600,0.010396724884399,0.0441637498097702,0.0718615259638818,,,"2018-07","2018-Q3",3430600,0,"2018-07"
2018-07-31,82958,"56587","MN","Fergus Falls","Otter Tail","Vergas",14500,229700,-0.0128921357971637,-0.00303819444444444,0.0445657116871305,,,"2018-05","2018-Q2",233500,-0.0162740899357602,"2018-04"
2018-07-31,87783,"67877","KS",,"Haskell","Sublette",14501,109200,-0.000914913083257091,-0.00455788514129444,-0.00455788514129444,,,"2017-12","2017-Q4",110200,-0.00907441016333938,"2017-06"
2018-07-31,62381,"12076","NY","Albany","Schoharie","Conesville",14502,120400,0.000831255195344971,0.00166389351081531,-0.0123051681706317,,,"2017-07","2017-Q3",121900,-0.0123051681706317,"2017-02"
2018-07-31,64458,"16124","PA","Youngstown","Mercer","Delaware",14503,106500,0.00471698113207547,0.0142857142857143,0.0181644359464627,,,"2014-10","2014-Q4",110300,-0.0344514959202176,"2014-09"
2018-07-31,65094,"17535","PA","Lancaster","Lancaster","Salisbury",14504,246100,0.00203583061889251,0.00902009020090201,0.0718641114982578,,,"2018-07","2018-Q3",246100,0,"2018-07"
2018-07-31,79932,"49774","MI","Sault Ste. Marie","Chippewa","Pickford",14505,81300,0.0086848635235732,0.0200752823086575,0.0226415094339623,,,"2004-07","2004-Q3",87000,-0.0655172413793104,"2004-01"
