"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-07-31,"17566","PA","Lancaster","Lancaster","East Drumore",8734,1149,-0.00260416666666667,-0.0179487179487179,0.0435967302452316,2914
2018-07-31,"19609","PA","Reading","Berks","West Wyomissing",8735,1239,-0.000806451612903226,-0.00321802091713596,-0.0088,3236
2018-07-31,"64504","MO","St. Joseph","Buchanan","Saint Joseph",8736,655,0,0.00152905198776758,0.0667752442996743,4013
2018-07-31,"78721","TX","Austin","Travis","Austin",8737,1590,0,-0.00188323917137476,-0.00872817955112219,3384
2018-07-31,"93543","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Littlerock",8738,1799,0.00111296605453534,0.00334634690462911,0.0837349397590362,3688
2018-07-31,"29645","SC","Greenville","Laurens","Gray Court",8739,1107,-0.00983899821109123,-0.0229479258605472,-0.0151245551601423,1142
2018-07-31,"07643","NJ","New York","Bergen","Little Ferry",8740,2038,-0.00293542074363992,-0.0154589371980676,-0.0507685142058687,2361
2018-07-31,"21853","MD","Salisbury","Somerset","Princess Anne",8741,1241,0,0,-0.03046875,4391
2018-07-31,"65043","MO","Jefferson City","Callaway","Holts Summit",8742,999,-0.0049800796812749,-0.0244140625,-0.0521821631878558,3068
2018-07-31,"45050","OH","Cincinnati","Butler","Monroe",8743,1486,0.00134770889487871,0.0164158686730506,0.0255348516218081,3461
2018-07-31,"77094","TX","Houston","Harris","Houston",8744,2750,0.0021865889212828,0.0125184094256259,0.0663047692904226,3057
2018-07-31,"65711","MO",,"Wright","Mountain Grove",8745,749,0,-0.00133333333333333,-0.0105680317040951,1834
2018-07-31,"07035","NJ","New York","Morris","Lincoln Park",8746,2447,0.00122749590834697,0.0103220478943022,0.0337980566117448,3884
2018-07-31,"21787","MD","Baltimore","Carroll","Taneytown",8747,1597,0.00251098556183302,0.0250320924261874,0.0390370852309694,4050
2018-07-31,"70774","LA","Baton Rouge","Ascension","Saint Amant",8748,1434,-0.00278164116828929,-0.00692520775623269,-0.0515873015873016,2753
2018-07-31,"15005","PA","Pittsburgh","Beaver","Economy",8749,1136,-0.000879507475813544,-0.00612423447069116,-0.0189982728842832,3554
2018-07-31,"19102","PA","Philadelphia","Philadelphia","Philadelphia",8750,1696,-0.00176574455562095,-0.00586166471277843,-0.0896403650026838,2375
2018-07-31,"20794","MD","Baltimore","Howard","Jessup",8751,2099,0,0.000476644423260248,0.00526819923371648,3052
2018-07-31,"97540","OR","Medford","Jackson","Talent",8752,1544,0,-0.00129366106080207,0.0084911822338341,1666
2018-07-31,"99518","AK","Anchorage","Anchorage","Anchorage",8753,1692,-0.000590667454223272,-0.000590667454223272,-0.000590667454223272,4097
2018-07-31,"46761","IN",,"Lagrange","Lagrange",8754,1007,-0.0039564787339268,-0.00690335305719921,-0.021379980563654,3151
2018-07-31,"06078","CT","Hartford","Hartford","Suffield",8755,1709,-0.00233508464681845,-0.0109953703703704,-0.0717001629549158,4019
2018-07-31,"89143","NV","Las Vegas","Clark","Las Vegas",8756,1399,0.000715307582260372,0.00430725053840632,0.0424739195230998,4438
2018-07-31,"19317","PA","Philadelphia","Delaware","Chadds Ford",8757,2556,0.000391389432485323,-0.00350877192982456,0.0219912035185926,3901
2018-07-31,"08093","NJ","Philadelphia","Gloucester","Westville",8758,1509,0.00199203187250996,0.006,-0.00330250990752972,3070
2018-07-31,"95742","CA","Sacramento","Sacramento","Rancho Cordova",8759,2140,0,0.00375234521575985,0.0283517539644402,3576
2018-07-31,"96019","CA","Redding","Shasta","Shasta Lake",8760,1163,0.00431778929188256,0.013949433304272,0.0174978127734033,3392
2018-07-31,"48065","MI","Detroit","Macomb","Romeo",8761,1659,0.00484554815263477,0.0291563275434243,0.16502808988764,3843
2018-07-31,"79316","TX",,"Terry","Brownfield",8762,965,0.00311850311850312,0.00416233090530697,-0.0281973816717019,3262
2018-07-31,"11575","NY","New York","Nassau","Roosevelt",8763,2766,-0.00216450216450216,-0.0121428571428571,0.0157914065369078,3837
