RegionName,City,State,Metro,CountyName,SizeRank,MedianPricePerSqft
91776,San Gabriel,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3234,476.0661189
2176,Melrose,MA,Boston,Middlesex,3236,334.3711209
75254,Dallas,TX,Dallas-Fort Worth,Dallas,3237,173.3969792
20165,Sterling,VA,Washington,Loudoun,3238,235.3865493
23860,Hopewell,VA,Richmond,Hopewell City,3239,96.32843539
6033,Glastonbury,CT,Hartford,Hartford,3240,171.822542
60438,Lansing,IL,Chicago,Cook,3241,101.5517464
19038,Abington,PA,Philadelphia,Montgomery,3242,185.1457841
32962,Vero Beach,FL,Vero Beach,Indian River,3243,125.499467
89503,Reno,NV,Reno,Washoe,3244,227.5573202
33026,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,3245,188.2313383
40504,Lexington,KY,Lexington,Fayette,3246,123.8095238
31705,Albany,GA,Albany,Dougherty,3247,46.42857143
8822,Raritan,NJ,New York,Hunterdon,3248,193.7921535
33837,Davenport,FL,Lakeland,Polk,3249,125.8308726
53213,Wauwatosa,WI,Milwaukee,Milwaukee,3249,156.7975492
55024,Farmington,MN,Minneapolis-St Paul,Dakota,3249,179.8597194
37205,Nashville,TN,Nashville,Davidson,3252,251.366843
91325,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3253,343.5087785
91403,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3253,546.3609922
30306,Atlanta,GA,Atlanta,Fulton,3255,353.5405797
55128,Oakdale,MN,Minneapolis-St Paul,Washington,3256,187.7705628
65616,Branson,MO,Branson,Taney,3257,117.1006944
93955,Seaside,CA,Salinas,Monterey,3258,445.5980066
43512,Defiance,OH,Defiance,Defiance,3259,77.79255319
98335,Gig Harbor,WA,Seattle,Pierce,3259,247.6387249
17022,Elizabethtown,PA,Lancaster,Lancaster,3261,147.7339901
37921,Knoxville,TN,Knoxville,Knox,3261,95.96577017
80602,Thornton,CO,Denver,Adams,3263,209.400962
32408,Panama City,FL,Panama City,Bay,3264,178.1381483
1826,Dracut,MA,Boston,Middlesex,3265,228.3070866
17268,Washington,PA,Chambersburg,Franklin,3265,107.8299473
68123,Bellevue,NE,Omaha,Sarpy,3265,143.0688044
93420,Arroyo Grande,CA,San Luis Obispo,San Luis Obispo,3268,384.9664506
75042,Garland,TX,Dallas-Fort Worth,Dallas,3269,124.4295147
6708,Waterbury,CT,New Haven,New Haven,3270,100.768534
60076,Skokie,IL,Chicago,Cook,3271,241.8533605
75229,Dallas,TX,Dallas-Fort Worth,Dallas,3271,229.2069686
38834,Corinth,MS,Corinth,Alcorn,3273,68.21533923
18015,Bethlehem,PA,Allentown,Northampton,3274,112.0223214
19601,Reading,PA,Reading,Berks,3275,40.2800659
2889,Warwick,RI,Providence,Kent,3276,185.1361735
20155,Gainesville,VA,Washington,Prince William,3276,199.8367892
15010,Chippewa,PA,Pittsburgh,Beaver,3278,102.5638671
53220,Greenfield,WI,Milwaukee,Milwaukee,3279,133.2281988
39212,Jackson,MS,Jackson,Hinds,3280,41.66721117
77502,Pasadena,TX,Houston,Harris,3281,101.6275306
29205,Columbia,SC,Columbia,Richland,3282,157.2664387
89081,North Las Vegas,NV,Las Vegas,Clark,3283,136.6033755
48205,Detroit,MI,Detroit,Wayne,3284,25.89900947
37067,Franklin,TN,Nashville,Williamson,3285,190.4729212
76548,Harker Heights,TX,Killeen,Bell,3286,94.90312095
98466,University Place,WA,Seattle,Pierce,3287,233.2439701
28146,Salisbury,NC,Charlotte,Rowan,3288,117.7051672
43219,Columbus,OH,Columbus,Franklin,3288,86.62101787
96825,Honolulu,HI,Urban Honolulu,Honolulu,3288,608.3563248
28150,Shelby,NC,Shelby,Cleveland,3291,86.27156789
97008,Beaverton,OR,Portland,Washington,3291,221.3780653
30045,Lawrenceville,GA,Atlanta,Gwinnett,3293,104.084839
33870,Sebring,FL,Sebring,Highlands,3294,103.0076308
