Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
7/31/2018,65573,18705,PA,Scranton,Luzerne,Wilkes-Barre,6558,71800,0,-0.001390821,0.081325301,,,2010-09,2010-Q3,79200,-0.093434343,2006-11
7/31/2018,80284,50313,IA,Des Moines,Polk,Des Moines,6559,114400,0.000874891,0.006156552,0.06122449,,,2018-07,2018-Q3,114400,0,2018-07
7/31/2018,64425,16046,PA,Pittsburgh,Butler,Mars,6560,363800,0.005527916,0.018191996,0.050230947,,,2018-07,2018-Q3,363800,0,2018-07
7/31/2018,90702,75116,TX,Dallas-Fort Worth,Dallas,Duncanville,6561,171100,0.007062978,0.045843521,0.20323488,,,2018-07,2018-Q3,171100,0,2018-07
7/31/2018,91091,75801,TX,Palestine,Anderson,Palestine,6562,85000,0.003541913,0.026570048,-0.024110218,,,2017-07,2017-Q3,87100,-0.024110218,2016-11
7/31/2018,61207,8840,NJ,New York,Middlesex,Metuchen,6563,407600,0.001720324,0.021809977,0.091006424,,,2006-07,2006-Q3,408700,-0.002691461,2006-06
7/31/2018,92014,77541,TX,Houston,Brazoria,Freeport,6564,131200,0,0.01626646,0.115646259,,,2018-07,2018-Q3,131200,0,2018-07
7/31/2018,61212,8852,NJ,New York,Middlesex,South Brunswick,6565,380500,-0.002621232,0.000789058,0.027267819,,,2006-06,2006-Q2,418200,-0.090148254,2005-04
7/31/2018,92097,77707,TX,Beaumont,Jefferson,Beaumont,6566,114700,0.008795075,0.028699552,0.114674441,,,2018-07,2018-Q3,114700,0,2018-07
7/31/2018,67190,22205,VA,Washington,Arlington,Arlington,6567,826000,-0.002294963,-0.002535926,0.044511887,,,2018-05,2018-Q2,829700,-0.004459443,2018-04
7/31/2018,62230,11754,NY,New York,Suffolk,Kings Park,6568,433200,-0.001152871,-0.005737893,-0.003908945,,,2006-04,2006-Q2,497100,-0.128545564,2004-05
7/31/2018,63102,13413,NY,Utica,Oneida,New Hartford,6569,170000,0.006512729,0.026570048,0.067839196,,,2018-07,2018-Q3,170000,0,2018-07
7/31/2018,62082,11370,NY,New York,Queens,New York,6570,675400,0.001779887,0.024886191,0.056468012,,,2018-07,2018-Q3,675400,0,2018-07
7/31/2018,62925,13057,NY,Syracuse,Onondaga,De Witt,6571,127400,0.008709422,0.017571885,0.065217391,,,2018-07,2018-Q3,127400,0,2018-07
7/31/2018,76709,43506,OH,,Williams,Bryan,6572,109500,0.000914077,0.006433824,0.025280899,,,2018-07,2018-Q3,109500,0,2018-07
7/31/2018,98426,95817,CA,Sacramento,Sacramento,Sacramento,6573,361900,0.0047196,0.008921104,0.025502975,,,2018-01,2018-Q1,363600,-0.004675468,2018-01
7/31/2018,62636,12524,NY,New York,Dutchess,Fishkill,6574,278000,0.005424955,0.019809244,0.082976237,,,2006-04,2006-Q2,342700,-0.188794864,2004-09
7/31/2018,96847,92377,CA,Riverside,San Bernardino,Rialto,6575,394800,0.005603668,0.015954709,0.053924186,,,2006-07,2006-Q3,448900,-0.120516819,2005-08
