Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude
76905,San Angelo,TX,San Angelo,Tom Green,7876,31.441909,-100.301587
3031,Amherst,NH,Manchester,Hillsborough,7878,42.87474,-71.629365
37807,Maynardville,TN,Knoxville,Union,7878,36.294236,-83.806991
90755,Signal Hill,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,7880,33.803448,-118.168135
56472,Pequot Lakes,MN,Brainerd,Crow Wing,7881,46.616147,-94.235561
22443,Colonial Beach,VA,,Westmoreland,7882,38.25457,-76.96358
10570,Pleasantville,NY,New York,Westchester,7883,41.131069,-73.792214
40513,Lexington,KY,Lexington,Fayette,7884,38.01513,-84.605827
36544,Irvington,AL,Mobile,Mobile,7885,30.479141,-88.232843
21102,Manchester,MD,Baltimore,Carroll,7886,39.66121,-76.88498
80018,Aurora,CO,Denver,Arapahoe,7887,39.689487,-104.67982
39525,Diamondhead,MS,Gulfport,Hancock,7888,30.292617,-89.299083
49038,Coloma,MI,Niles,Berrien,7888,42.18615,-86.30836
99324,College Place,WA,Walla Walla,Walla Walla,7890,46.047069,-118.409275
7043,Montclair,NJ,New York,Essex,7891,40.828938,-74.201531
68007,Bennington,NE,Omaha,Douglas,7891,41.357015,-96.203393
11766,Mount Sinai,NY,New York,Suffolk,7893,40.93766,-73.02005
96067,Mount Shasta,CA,,Siskiyou,7894,41.31583,-122.31611
4086,Topsham,ME,Portland,Sagadahoc,7895,43.981404,-69.937793
21769,Middletown,MD,Washington,Frederick,7895,39.44371,-77.54471
12572,Rhinebeck,NY,New York,Dutchess,7897,41.92676,-73.91264
13041,Clay,NY,Syracuse,Onondaga,7897,43.1859,-76.17243
43021,Galena,OH,Columbus,Delaware,7897,40.201142,-82.874886
85054,Phoenix,AZ,Phoenix,Maricopa,7900,33.678527,-111.941099
16412,Washington,PA,Erie,Erie,7901,41.878141,-80.139893
48360,Orion,MI,Detroit,Oakland,7901,42.747574,-83.260083
67410,Abilene,KS,,Dickinson,7903,38.9111,-97.195283
7932,Florham Park,NJ,New York,Morris,7904,40.7735,-74.397996
14502,Macedon,NY,Rochester,Wayne,7904,43.110807,-77.31345
19734,Townsend,DE,Philadelphia,New Castle,7904,39.430666,-75.646408
85929,Lakeside,AZ,Show Low,Navajo,7907,34.175198,-109.972598
33868,Polk City,FL,Lakeland,Polk,7908,28.18251,-81.82397
47001,Aurora,IN,Cincinnati,Dearborn,7909,39.057,-84.90134
62712,Springfield,IL,Springfield,Sangamon,7910,39.72647,-89.604531
8629,Trenton,NJ,Trenton,Mercer,7911,40.219558,-74.733404
76102,Fort Worth,TX,Dallas-Fort Worth,Tarrant,7911,32.759104,-97.329756
60143,Itasca,IL,Chicago,Du Page,7913,41.97503,-88.00729
4736,Caribou,ME,,Aroostook,7914,46.871355,-68.025442
17313,York,PA,York,York,7915,39.912423,-76.65353
48612,Beaverton,MI,,Gladwin,7916,43.88225,-84.48473
8402,Margate City,NJ,Atlantic City,Atlantic,7917,39.32789,-74.50349
31757,Thomasville,GA,Thomasville,Thomas,7917,30.853592,-83.888269
