Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude,ForecastYoYPctChange,MedianPrice,Zhvi,MoM,QoQ,YoY,PeakZHVI,PctFallFromPeak,PriceToRentRatio,MarketHealthIndex,SellForGain,NegativeEquity,Delinquency,DaysOnMarket,MedianPricePerSqft
84041,Layton,UT,Ogden,Davis,1227,41.050147,-111.992481,7.365265082,294900,273500,0.012962963,0.064616582,0.158407454,273500,0,13.88,9.060384137,92.31,0.037031594,0.011904762,39,187.8788565
84043,Lehi,UT,Provo,Utah,1092,40.39162,-111.85077,4.026315789,351000,364800,0.006900359,0.029055007,0.105454545,364800,0,16.53,8.509050712,,0.057336689,0.003816794,45,175.2358491
84044,Magna,UT,Salt Lake City,Salt Lake,5212,40.699401,-112.088875,5.316015625,249900,256000,0.010260458,0.025641026,0.173773498,256000,0,13.4,9.283542905,,0.034965035,0.013333333,43,212.4505929
84045,Saratoga Springs,UT,Provo,Utah,5849,40.34912,-111.90466,5.929673203,359900,382500,0.009767687,0.039402174,0.110949753,382500,0,17.35,8.521486804,,0.052530583,0.01826484,47,136.6287016
84047,Midvale,UT,Salt Lake City,Salt Lake,2002,40.61106,-111.89994,5.460700919,302450,293900,0.008579272,0.026545582,0.100749064,293900,0,14.26,9.185435954,,0.056782334,0,41,194.4444444
84049,Midway,UT,Heber,Wasatch,9436,40.489378,-111.485127,2.724569972,534500,470900,0.005122732,0.003409333,0.044355733,470900,0,17.22,5.944452121,,0.054151625,0,61.5,219.8743126
84054,North Salt Lake,UT,Ogden,Davis,6103,40.844595,-111.919115,7.163213171,367400,352300,0.016152293,0.064993954,0.170043175,352300,0,15.18,9.587536272,85.71,0.041007194,0,42,185.4359926
84057,Orem,UT,Provo,Utah,3432,40.311353,-111.72496,4.870612526,319990,290600,0.006930007,0.037857143,0.138268703,290600,0,15.86,7.861683018,,0.068380334,0.003649635,40.5,187.7260709
8406,Ventnor City,NJ,Atlantic City,Atlantic,6275,39.34039,-74.47737,7.332934132,3.00E+05,250500,0.012530315,0.041147132,0.141230068,397900,-0.370444835,11.09,3.837916264,87.5,0.17325228,0.093567251,113,206.5030243
84060,Park City,UT,Summit Park,Summit,8295,40.652531,-111.501916,4.988339313,1850000,780400,-0.005099439,-0.013151239,0.005540523,790800,-0.013151239,21.17,5.145087744,,0.056751468,0,94,766.2337662
84062,Pleasant Grove,UT,Provo,Utah,2517,40.386385,-111.732911,3.931707317,359900,348500,0.006352873,0.02590521,0.107052097,348500,0,17.03,8.690064944,,0.056732741,0.006024096,48,191.0609037
84065,Riverton,UT,Salt Lake City,Salt Lake,2811,40.52189,-111.9391,3.953166707,409000,412100,0.006103516,0.016526887,0.101577118,412100,0,16.68,8.75639077,,0.03816187,0.004166667,49,168.7817259
84066,Roosevelt,UT,,Duchesne,7836,40.266539,-110.106937,4.917054986,179000,214600,0.009882353,0.034216867,0.039225182,215800,-0.005560704,14.21,3.245129197,,0.09417596,0.078947368,,122.2031528
84067,Roy,UT,Ogden,Weber,2630,41.178743,-112.052525,6.551580699,248000,240400,0.013490725,0.045217391,0.164164649,240400,0,14.08,9.307724195,,0.052442079,0.011940299,41,195.3612846
84070,Sandy,UT,Salt Lake City,Salt Lake,4029,40.577106,-111.889047,4.746518987,336000,316000,0.007653061,0.027308192,0.116607774,316000,0,14.42,8.063424071,,0.047551253,0.017964072,41,186.3296691
84074,Tooele,UT,Salt Lake City,Tooele,1567,40.53078,-112.29828,5.271883824,285000,247900,0.0073141,0.026076159,0.170996693,247900,0,13.39,7.885173414,,0.038473768,0.02892562,41,151.7833199
84075,Syracuse,UT,Ogden,Davis,5669,41.096293,-112.079415,6.604903079,349900,350800,0.011534025,0.052189562,0.13454075,350800,0,15.37,9.890838745,100,0.030117944,0,48,184.8728522
84078,Vernal,UT,Vernal,Uintah,4103,40.630436,-109.483101,2.764075067,196450,261100,0.003458878,0.016348774,0.075813762,261100,0,15.58,4.408594722,,0.04737422,0.054263566,,120.6218818
84081,West Jordan,UT,Salt Lake City,Salt Lake,2972,40.602803,-112.037636,4.358183376,359900,350100,0.004879449,0.013020833,0.068681319,350100,0,14.53,7.229514992,,0.028475278,0.004545455,42,178.7107259
84084,West Jordan,UT,Salt Lake City,Salt Lake,4112,40.622887,-111.964564,4.807630651,305000,311900,0.009711881,0.039666667,0.133357558,311900,0,14.45,9.238634793,,0.046450482,0,36,186.8259804
84087,Woods Cross,UT,Ogden,Davis,7755,40.889027,-111.926646,6.717271051,335000,325400,0.01623985,0.08539026,0.173458348,325400,0,15.05,9.151582147,75,0.03662074,0,37,195.4001939
